filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
neural_network/trace_car_noRandom/vpython_car_001.txt,001,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_002.txt,002,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_003.txt,003,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_004.txt,004,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_005.txt,005,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_006.txt,006,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_007.txt,007,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_008.txt,008,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_009.txt,009,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_010.txt,010,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_011.txt,011,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_012.txt,012,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_013.txt,013,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_014.txt,014,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_015.txt,015,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_016.txt,016,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_017.txt,017,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_018.txt,018,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_019.txt,019,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_020.txt,020,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_021.txt,021,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_022.txt,022,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_023.txt,023,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_024.txt,024,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_025.txt,025,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_026.txt,026,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_027.txt,027,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_028.txt,028,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_029.txt,029,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_030.txt,030,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_031.txt,031,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_032.txt,032,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_033.txt,033,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_034.txt,034,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_035.txt,035,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_036.txt,036,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_037.txt,037,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_038.txt,038,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_039.txt,039,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_040.txt,040,1405526,2435388,2,94354,83759,156226,9,3180,192,335,0,21,1489477,2591949,11,97555
neural_network/trace_car_noRandom/vpython_car_041.txt,041,1443190,2486260,2,96982,74738,131785,9,2966,192,335,0,21,1518120,2618380,11,99969
neural_network/trace_car_noRandom/vpython_car_042.txt,042,1443190,2486260,2,96982,74738,131785,9,2966,192,335,0,21,1518120,2618380,11,99969
neural_network/trace_car_noRandom/vpython_car_043.txt,043,1443190,2486260,2,96982,74738,131785,9,2966,192,335,0,21,1518120,2618380,11,99969
neural_network/trace_car_noRandom/vpython_car_044.txt,044,1443190,2486260,2,96982,74738,131785,9,2966,192,335,0,21,1518120,2618380,11,99969
neural_network/trace_car_noRandom/vpython_car_045.txt,045,1443190,2486260,2,96982,74738,131785,9,2966,192,335,0,21,1518120,2618380,11,99969
neural_network/trace_car_noRandom/vpython_car_046.txt,046,1443190,2486260,2,96982,74738,131785,9,2966,192,335,0,21,1518120,2618380,11,99969
neural_network/trace_car_noRandom/vpython_car_047.txt,047,1443190,2486260,2,96982,74738,131785,9,2966,192,335,0,21,1518120,2618380,11,99969
neural_network/trace_car_noRandom/vpython_car_048.txt,048,1443190,2486260,2,96982,74738,131785,9,2966,192,335,0,21,1518120,2618380,11,99969
neural_network/trace_car_noRandom/vpython_car_049.txt,049,1443190,2486260,2,96982,74738,131785,9,2966,192,335,0,21,1518120,2618380,11,99969
neural_network/trace_car_noRandom/vpython_car_050.txt,050,1443190,2486260,2,96982,74738,131785,9,2966,192,335,0,21,1518120,2618380,11,99969
neural_network/trace_car_noRandom/vpython_car_051.txt,051,1443190,2486260,2,96982,74738,131785,9,2966,192,335,0,21,1518120,2618380,11,99969
neural_network/trace_car_noRandom/vpython_car_052.txt,052,1443190,2486260,2,96982,74738,131785,9,2966,192,335,0,21,1518120,2618380,11,99969
neural_network/trace_car_noRandom/vpython_car_053.txt,053,1443190,2486260,2,96982,74738,131785,9,2966,192,335,0,21,1518120,2618380,11,99969
neural_network/trace_car_noRandom/vpython_car_054.txt,054,1443190,2486260,2,96982,74738,131785,9,2966,192,335,0,21,1518120,2618380,11,99969
neural_network/trace_car_noRandom/vpython_car_055.txt,055,1443190,2486260,2,96982,74738,131785,9,2966,192,335,0,21,1518120,2618380,11,99969
neural_network/trace_car_noRandom/vpython_car_056.txt,056,1443190,2486260,2,96982,74738,131785,9,2966,192,335,0,21,1518120,2618380,11,99969
neural_network/trace_car_noRandom/vpython_car_057.txt,057,1443190,2486260,2,96982,74738,131785,9,2966,192,335,0,21,1518120,2618380,11,99969
neural_network/trace_car_noRandom/vpython_car_058.txt,058,1443190,2486260,2,96982,74738,131785,9,2966,192,335,0,21,1518120,2618380,11,99969
neural_network/trace_car_noRandom/vpython_car_059.txt,059,1443190,2486260,2,96982,74738,131785,9,2966,192,335,0,21,1518120,2618380,11,99969
neural_network/trace_car_noRandom/vpython_car_060.txt,060,1443190,2486260,2,96982,74738,131785,9,2966,192,335,0,21,1518120,2618380,11,99969
neural_network/trace_car_noRandom/vpython_car_061.txt,061,1443190,2486260,2,96982,74738,131785,9,2966,192,335,0,21,1518120,2618380,11,99969
neural_network/trace_car_noRandom/vpython_car_062.txt,062,1443190,2486260,2,96982,74738,131785,9,2966,192,335,0,21,1518120,2618380,11,99969
neural_network/trace_car_noRandom/vpython_car_063.txt,063,1443190,2486260,2,96982,74738,131785,9,2966,192,335,0,21,1518120,2618380,11,99969
neural_network/trace_car_noRandom/vpython_car_064.txt,064,1443190,2486260,2,96982,74738,131785,9,2966,192,335,0,21,1518120,2618380,11,99969
neural_network/trace_car_noRandom/vpython_car_065.txt,065,1443190,2486260,2,96982,74738,131785,9,2966,192,335,0,21,1518120,2618380,11,99969
neural_network/trace_car_noRandom/vpython_car_066.txt,066,1443190,2486260,2,96982,74738,131785,9,2966,192,335,0,21,1518120,2618380,11,99969
neural_network/trace_car_noRandom/vpython_car_067.txt,067,1443190,2486260,2,96982,74738,131785,9,2966,192,335,0,21,1518120,2618380,11,99969
neural_network/trace_car_noRandom/vpython_car_068.txt,068,1443190,2486260,2,96982,74738,131785,9,2966,192,335,0,21,1518120,2618380,11,99969
neural_network/trace_car_noRandom/vpython_car_069.txt,069,1443190,2486260,2,96982,74738,131785,9,2966,192,335,0,21,1518120,2618380,11,99969
neural_network/trace_car_noRandom/vpython_car_070.txt,070,1443190,2486260,2,96982,74738,131785,9,2966,192,335,0,21,1518120,2618380,11,99969
neural_network/trace_car_noRandom/vpython_car_071.txt,071,1443190,2486260,2,96982,74738,131785,9,2966,192,335,0,21,1518120,2618380,11,99969
neural_network/trace_car_noRandom/vpython_car_072.txt,072,1443190,2486260,2,96982,74738,131785,9,2966,192,335,0,21,1518120,2618380,11,99969
neural_network/trace_car_noRandom/vpython_car_073.txt,073,1443190,2486260,2,96982,74738,131785,9,2966,192,335,0,21,1518120,2618380,11,99969
